*;base;gen
cn_Cadfan.m;Кадфан;
cn_Cadwaladr.m;Кадуаладр;
cn_Cadwallon.m;Кадуаллон;
cn_Cadwgan.m;Кадуган;
cn_Caerell.m;Каерелл;
cn_Caerill.m;Каерилл;
cn_Caffaro.m;Каффаро;
cn_Caillech.f;Каиллеч;
cn_Cainnech.m;Каиннеч;
cn_Cairbre.m;Каирбре;
cn_Caldairo.m;Калдаиро;
cn_Callistus.m;Каллистус;
cn_Callixtus.m;Калликстус;
cn_Camba.m;Камба;
cn_Candace.f;Кандаке;
cn_Canfrancesco.m;Канфранкеско;
cn_Cangrande.m;Кангранде;
cn_Cannech.m;Каннеч;
cn_Cansignorio.m;Кансигнорио;
cn_Cante.m;Канте;
cn_Caoch.m;Каоч;
cn_Caradog.m;Карадог;
cn_Carl.m;Карл;
cn_Carla.f;Карла;
cn_Carlo.m;Карло;
cn_Carulus.m;Карулус;
cn_Caslav.m;Каслав;
cn_Casnodyn.m;Каснодин;
cn_Caspar.m;Каспар;
cn_Cass.m;Касс;
cn_Cassianos.m;Кассианос;
cn_Cassone.m;Кассоне;
cn_Catalina.f;Каталина;
cn_Catarine.f;Катарине;
cn_Cataruccia.f;Катаруккиа;
cn_Caterina.f;Катерина;
cn_Cathail.m;Катаил;
cn_Cathal.m;Катал;
cn_Catherine.f;Екатерина;
cn_Cathroe.m;Катрое;
cn_Catrin.f;Катрин;
cn_Causantin.m;Каусантин;
cn_Ceaunfaeladh.m;Кеаунфаеладх;
cn_Cecile.f;Кекиле;
cn_Cecilia.f;Кекилиа;
cn_Cecily.f;Кекили;
cn_Celestina.f;Келестина;
cn_Celestine.m;Келестине;
cn_Celine.f;Келине;
cn_Cenana.f;Кенана;
cn_Cennedig.m;Кеннедиг;
cn_Cennetig.m;Кеннетиг;
cn_Cenni.m;Кенни;
cn_Centolh.m;Кентолх;
cn_Cerveri.m;Кервери;
cn_Cetshwayo.m;Кетшуаио;
cn_Chagatai.m;Чагатаи;
cn_Chagatay.m;Чагатаи;
cn_Chaka.m;Чака;
cn_Chamoa.f;Чамоа;
cn_Chandrenos.m;Чандренос;
cn_Charena.m;Чарена;
cn_Chariton.m;Чаритон;
cn_Charles.m;Шарл;
cn_Charlez.m;Чарлез;
cn_Chatbetz.m;Чатбетз;
cn_Chaur.m;Чаур;
cn_Cheb.m;Чеб;
cn_Chechagan.f;Чечаган;
cn_Checheikhen.f;Чечеикхен;
cn_Cheikh.m;Чеикх;
cn_Chelaleddin.m;Челаледдин;
cn_Chelbir.m;Челбир;
cn_Cherik.m;Черик;
cn_Cherkes.m;Черкес;
cn_Chiaber.m;Чиабер;
cn_Chiaro.m;Чиаро;
cn_Chichak.m;Чичак;
cn_Chigu.m;Чигу;
cn_Chin.m;Чин;
cn_Chingim.m;Чингим;
cn_Choban.m;Чобан;
cn_Chormaqan.m;Чормакан;
cn_Christiana.f;Чристиана;
cn_Christianus.m;Чристианус;
cn_Christina.f;Кристина;
cn_Christine.f;Чристине;
cn_Christoffer.m;Чристоффер;
cn_Christoph.m;Чристоф;
cn_Christopher.m;Христофор;
cn_Chubei.f;Чубеи;
cn_Chupan.m;Тсчупан;
cn_Cinaed.m;Кинаед;
cn_Cinaeda.m;Кинаеда;
cn_Cinneidigh.m;Киннеидигх;
cn_Cipriano.m;Киприано;
cn_Citi.m;Кити;
cn_Claas.m;Клаас;
cn_Clara.f;Клара;
cn_Clare.f;Кларе;
cn_Claria.f;Клариа;
cn_Clarice.f;Кларике;
cn_Clarimond.f;Кларимонд;
cn_Claris.m;Кларис;
cn_Claudia.f;Клаудиа;
cn_Clembaud.m;Клембауд;
cn_Clemence.f;Клеменке;
cn_Clement.m;Климент;
cn_Clementia.f;Клементиа;
cn_Clementine.f;Клементине;
cn_Clerebold.m;Клереболд;
cn_Clothna.m;Клотна;
cn_Cneppyn.m;Кнеппин;
cn_Codre.f;Кодре;
cn_Coinneach.m;Коиннеач;
cn_Colban.m;Колбан;
cn_Collwyn.m;Коллуин;
cn_Colyne.m;Колине;
cn_Comgeall.m;Комгеалл;
cn_Conan.m;Конан;
cn_Conchaka.f;Кончака;
cn_Conchobar.m;Кончобар;
cn_Conon.m;Конон;
cn_Conor.m;Конор;
cn_Conrad.m;Конрад;
cn_Conradin.m;Конрадин;
cn_Conradt.m;Конрадт;
cn_Consolella.f;Консолелла;
cn_Constance.f;Констанца;
cn_Constantia.f;Константиа;
cn_Constantijn.m;Константийн;
cn_Constantine.m;Константин;
cn_Constantino.m;Константино;
cn_Constanza.f;Констанза;
cn_Coradiatz.m;Корадиатз;
cn_Corinne.f;Коринне;
cn_Cormac.m;Кормак;
cn_Cormaic.m;Кормаик;
cn_Cornella.f;Корнелла;
cn_Corrado.m;Коррадо;
cn_Cosimo.m;Козимо;
cn_Cosmas.m;Космас;
cn_Costantino.m;Костантино;
cn_Costea.m;Костеа;
cn_Craft.m;Крафт;
cn_Cresonio.m;Кресонио;
cn_Crespi.m;Креспи;
cn_Cristin.f;Кристин;
cn_Cristinia.f;Кристиниа;
cn_Cristofano.m;Кристофано;
cn_Csak.m;Ксак;
cn_Csama.m;Ксама;
cn_Csanad.m;Ксанад;
cn_Csepan.m;Ксепан;
cn_Csete.m;Ксете;
cn_Cu.m;Ку;
cn_Cuan.m;Куан;
cn_Cuilen.m;Куилен;
cn_Culeon.m;Кулеон;
cn_Cunedda.m;Кунедда;
cn_Cunigunde.f;Кунигунде;
cn_Curtis.m;Куртис;
cn_Cydifor.m;Кидифор;
cn_Cynan.m;Кинан;
cn_Cynddelw.m;Киндделу;
cn_Cynferth.m;Кинферт;
cn_Cynwrig.m;Кинуриг;
cn_Czacherys.m;Кзачерис;
cn_Dabid.m;Дабид;
cn_Dadi.m;Дади;
cn_Dafydd.m;Дафидд;
cn_Dag.m;Даг;
cn_Dairmaid.m;Даирмаид;
cn_Dala.m;Дала;
cn_Dalida.f;Далида;
cn_Dalmat.m;Далмат;
cn_Dalmatz.m;Далматз;
cn_Damasus.m;Дамасус;
cn_Damilla.f;Дамилла;
cn_Damjan.m;Дамян;
cn_Damyan.m;Дамиан;
cn_Dan.m;Дан;
cn_Dananir.f;Дананир;
cn_Daniel.m;Даниел;
cn_Daniello.m;Даниелло;
cn_Daniil.m;Даниил;
cn_Danil.m;Данил;
cn_Danishmend.m;Данишменд;
cn_Dankaran.m;Данкаран;
cn_Dante.m;Данте;
cn_Danute.f;Дануте;
cn_Danylo.m;Данило;
cn_Daortho.f;Даорто;
cn_Dardan.m;Дардан;
cn_Dardana.f;Дардана;
cn_Dardin.m;Дардин;
cn_Dassaro.f;Дассаро;
cn_Daugirutis.m;Даугирутис;
cn_Dauid.m;Дауид;
cn_Daujotas.m;Дауйотас;
cn_Daumantas.m;Даумантас;
cn_Dausprungas.m;Дауспрунгас;
cn_David.m;Давид;
cn_Davit.m;Давит;
cn_Davod.m;Давод;
cn_Davok.m;Давок;
cn_Davyd.m;Давид;
cn_Dawud.m;Даууд;
cn_Dayfa.f;Даифа;
cn_Dayir.m;Даиир;
cn_Dedi.m;Деди;
cn_Deheuwynt.m;Дехеууинт;
cn_Dei.m;Деи;
cn_Dejan.m;Деян;
cn_Delphine.f;Делфине;
cn_Delyan.m;Делиан;
cn_Demeter.m;Деметер;
cn_Demetre.m;Деметре;
cn_Demetrio.m;Деметрио;
cn_Demetrios.m;Деметриос;
cn_Demetrius.m;Деметриус;
cn_Demna.m;Демна;
cn_Demut.f;Демут;
cn_Denes.m;Денес;
cn_Denis.m;Дени;
cn_Denys.m;Денис;
cn_Depas.m;Депас;
cn_Depold.m;Деполд;
cn_Derbforgaill.f;Дербфоргаилл;
cn_Deredere.f;Дередере;
cn_Derenik.m;Дереник;
cn_Derenik_Ashot.m;Дереник-Ашот;
cn_Dermot.m;Дермот;
cn_Ders.m;Дерс;
cn_Dertad.m;Дертад;
cn_Dervish.m;Дервиш;
cn_Dervorguilla.f;Дерворгуилла;
cn_Desa.m;Деса;
cn_Desislava.f;Десислава;
cn_Detre.m;Детре;
cn_Devlesah.f;Девлесах;
cn_Dezso.m;Дезсо;
cn_Dhana.f;Дхана;
cn_Dhayl.f;Дхаил;
cn_Dhimiter.m;Дхимитер;
cn_Diamante.f;Диаманте;
cn_Diana.f;Диана;
cn_Diara.m;Диара;
cn_Diarmaid.m;Диармаид;
cn_Diarmuid.m;Диармуид;
cn_Diata.m;Диата;
cn_Didak.m;Дидак;
cn_Diego.m;Диего;
cn_Dietmar.m;Диетмар;
cn_Dietrich.m;Диетрич;
cn_Dietrick.m;Диетрикк;
cn_Dieudonne.m;Диеудонне;
cn_Dihya.f;Дихиа;
cn_Dil.m;Дил;
cn_Dilshan.f;Дилшан;
cn_Dimitar.m;Димитар;
cn_Dimitrie.m;Димитрие;
cn_Dinis.m;Динис;
cn_Dinozzo.m;Диноззо;
cn_Diodoros.m;Диодорос;
cn_Dionisio.m;Дионисио;
cn_Dionisiy.m;Дионисии;
cn_Dionysius.m;Дионисий;
cn_Dirk.m;Дирк;
cn_Dirske.m;Дирске;
cn_Ditwin.m;Дитуин;
cn_Divitia.f;Дивитиа;
cn_Djibril.m;Дджибрил;
cn_Dmitar.m;Дмитар;
cn_Dmitri.m;Дмитри;
cn_Dmitrijus.m;Дмитриюс;
cn_Dmytro.m;Дмитро;
cn_Doat.m;Доат;
cn_Dobreysho.m;Добреишо;
cn_Dobrodeia.f;Добродеиа;
cn_Dobromir.m;Добромир;
cn_Dobroniega.f;Доброниега;
cn_Dobroslav.m;Доброслав;
cn_Dobroslava.f;Доброслава;
cn_Dobrotitsa.m;Добротитса;
cn_Dogra.m;Догра;
cn_Doladi.m;Долади;
cn_Dolca.f;Долка;
cn_Dolete.f;Долете;
cn_Domald.m;Домалд;
cn_Domenico.m;Доменико;
cn_Domingo.m;Доминго;
cn_Dominica.f;Доминика;
cn_Dominicus.m;Доминикус;
cn_Dominyk.m;Доминик;
cn_Domnall.m;Домналл;
cn_Domokos.m;Домокос;
cn_Domongart.m;Домонгарт;
cn_Donald.m;Доналд;
cn_Donas.m;Донас;
cn_Donato.m;Донато;
cn_Donatus.m;Донатус;
cn_Dondi.f;Донди;
cn_Donika.f;Доника;
cn_Donn.m;Донн;
cn_Donnachac.m;Донначак;
cn_Donnchad.m;Доннчад;
cn_Donnchaid.m;Доннчаид;
cn_Donogh.m;Доногх;
cn_Doquz.f;Доквз;
cn_Dorde.m;Дорде;
cn_Dorji.f;Дорджи;
cn_Doroslava.f;Дорослава;
cn_Dorotea.f;Доротеа;
cn_Doroteja.f;Доротея;
cn_Dorothee.f;Доротее;
cn_Dorotheos.m;Доротеос;
cn_Dorothy.f;Доротея;
cn_Dorothye.f;Доротие;
cn_Doruntina.f;Дорунтина;
cn_Dositheus.m;Доситеус;
cn_Douenald.m;Доуеналд;
cn_Dov_iat.m;Довиат;
cn_Dov_sprounk.m;Довспроунк;
cn_Dovakhin.m;Довакхин;
cn_Dovmont.m;Довмонт;
cn_Dowglas.m;Доуглас;
cn_Dowlandi.f;Доуланди;
cn_Dozsa.m;Дозса;
cn_Drag.m;Драг;
cn_Dragana.f;Драгана;
cn_Dragomazh.m;Драгомазх;
cn_Dragomir.m;Драгомир;
cn_Dragonetz.m;Драгонетз;
cn_Dragos.m;Драгос;
cn_Dragota.m;Драгота;
cn_Drita.f;Дрита;
cn_Drogo.m;Дрого;
cn_Drogon.m;Дрогон;
cn_Drogos.m;Дрогос;
cn_Druyt.m;Друит;
cn_Dubays.m;Дубаис;
cn_Dubh.f;Дубх;
cn_Dubhchoblaig.f;Дубхчоблаиг;
cn_Dubhghall.m;Дубхгхалл;
cn_Dubni.m;Дубни;
cn_Duccio.m;Дуккио;
cn_Duh.m;Дух;
cn_Duibne.m;Дуибне;
cn_Duinnin.m;Дуиннин;
cn_Dulandukht.f;Дуландукхт;
cn_Dulce.f;Дулке;
cn_Dulcia.f;Дулкиа;
cn_Dunadach.m;Дунадач;
cn_Dunama.m;Дунама;
cn_Duncan.m;Дункан;
cn_Dunkani.m;Дункани;
cn_Duqaq.m;Дукак;
cn_Duran.m;Дуран;
cn_Durand.m;Дуранд;
cn_Durante.m;Дуранте;
cn_Durayd.m;Дураид;
cn_Durman.m;Дурман;
cn_Dyddgu.f;Диддгу;
cn_Dymitr.m;Димитр;
cn_Dzhuradzh.m;Дзхурадзх;
cn_Dzunginidini.f;Дзунгинидини;
cn_Eadaoin.f;Еадаоин;
cn_Ealasaid.f;Еаласаид;
cn_Ealusaid.f;Еалусаид;
cn_Eamonn.m;Еамонн;
cn_Eanric.m;Еанрик;
cn_Eberhard.m;Еберхард;
cn_Eble.m;Ебле;
cn_Ebratz.m;Ебратз;
cn_Eckard.m;Еккард;
cn_Eckehard.m;Еккехард;
cn_Ecs.m;Екс;
cn_Ede.f;Еде;
cn_Eden.m;Еден;
cn_Ederono.m;Едероно;
cn_Edgar.m;Едгар;
cn_Edgard.m;Едгард;
cn_Edigu.m;Едигу;
cn_Edith.f;Едит;
cn_Editha.f;Едита;
cn_Edivala.m;Едивала;
cn_Edivydas.m;Едивидас;
cn_Edmer.m;Едмер;
cn_Edmond.m;Едмонд;
cn_Edmund.m;Едмънд;
cn_Ednowain.m;Едноуаин;
cn_Ednyfed.m;Еднифед;
cn_Eduard.m;Едуард;
cn_Eduardum.m;Едуардум;
cn_Edward.m;Едуард;
cn_Edwin.m;Едуин;
cn_Efa.f;Ефа;
cn_Egarslan.m;Егарслан;
cn_Egbert.m;Егберт;
cn_Egelina.f;Егелина;
cn_Egeline.f;Егелине;
cn_Eggert.m;Еггерт;
cn_Eggewaart.m;Еггеуаарт;
cn_Egidia.f;Егидиа;
cn_Egidio.m;Егидио;
cn_Egidius.m;Егидиус;
cn_Egill.m;Егилл;
cn_Egzon.m;Егзон;
cn_Einar.m;Еинар;
cn_Einion.m;Еинион;
cn_Einvalti.m;Еинвалти;
cn_Eirene.f;Еирене;
cn_Eirene_Eulogia.f;Еирене-Еулогиа;
cn_Eisabetta.f;Еисабетта;
cn_Eithne.f;Еитне;
cn_Ekaterina.f;Екатерина;
cn_Ekinchi.m;Екинчи;
cn_Ekvtime.m;Еквтиме;
cn_Ela.f;Ела;
cn_Elaine.f;Елаине;
cn_Elayne.f;Елаине;
cn_Elbasmish.m;Елбасмиш;
cn_Eleanor.f;Елеонор;
cn_Elen.f;Елен;
cn_Elena.f;Елена;
cn_Elena_Evgenia.f;Елена-Евгениа;
cn_Elene.f;Елене;
cn_Eleonora.f;Елеонора;
cn_Eleonore.f;Елеоноре;
cn_Eles.m;Елес;
cn_Eletta.f;Елетта;
cn_Elgai.m;Елгаи;
cn_Elgast.m;Елгаст;
cn_Elger.m;Елгер;
cn_Elias.m;Илия;
cn_Eliazar.m;Елиазар;
cn_Elidir.m;Елидир;
cn_Eliduc.m;Елидук;
cn_Elin.f;Елин;
cn_Elira.f;Елира;
cn_Elisa.f;Елиса;
cn_Elisabet.f;Елисабет;
cn_Elisabeth.f;Елизабет;
cn_Elisaveta.f;Елисавета;
cn_Elisif.f;Елисиф;
cn_Elizabet.f;Елизабет;
cn_Elizabeth.f;Елизабет;
cn_Elizebeth.f;Елизебет;
cn_Eljigidei.m;Елджигидеи;
cn_Eljitai.m;Елджитаи;
cn_Ella.f;Елла;
cn_Ellen.f;Еллен;
cn_Elo.f;Ело;
cn_Elric.m;Елрик;
cn_Elspaith.f;Елспаит;
cn_Elthreda.f;Елтреда;
cn_Eltimir.m;Елтимир;
cn_Elvira.f;Елвира;
cn_Elysande.f;Елисанде;
cn_Elystan.m;Елистан;
cn_Elzbieta.f;Елзбиета;
cn_Elzear.m;Елзеар;
cn_Emad.m;Емад;
cn_Emeline.f;Емелине;
cn_Emely.f;Емели;
cn_Emeric.m;Емерик;
cn_Emerik.m;Емерик;
cn_Emilie.f;Емилие;
cn_Emma.f;Ема;
cn_Emmeline.f;Еммелине;
cn_Emugen.m;Емуген;
cn_Emund.m;Емунд;
cn_Enderquina.f;Ендерквина;
cn_Eneas.m;Енеас;
cn_Enede.f;Енеде;
cn_Engelard.m;Енгелард;
cn_Engelbert.m;Енгелберт;
cn_Engelbrecht.m;Енгелбречт;
cn_Engelgerus.m;Енгелгерус;
cn_Engjell.m;Енгйелл;
cn_Enguerrand.m;Енгуерранд;
cn_Enna.m;Енна;
cn_Enouguen.f;Еноугуен;
cn_Enri.m;Енри;
cn_Enrico.m;Енрико;
cn_Enricx.m;Енриккс;
cn_Enrique.m;Енрикве;
cn_Eochaid.m;Еочаид;
cn_Eoghan.m;Еогхан;
cn_Eozen.m;Еозен;
cn_Equitan.m;Еквитан;
cn_Er_divil.m;Ердивил;
cn_Erard.m;Ерард;
cn_Erasmus.m;Ерасмус;
cn_Erdudfyl.f;Ердудфил;
cn_Erdvilas.m;Ердвилас;
cn_Erekle.m;Ерекле;
cn_Eremburga.f;Ерембурга;
cn_Erengisle.m;Еренгисле;
cn_Eretna.m;Еретна;
cn_Erik.m;Ерик;
cn_Erlemannus.m;Ерлеманнус;
cn_Erlend.m;Ерленд;
cn_Erling.m;Ерлинг;
cn_Ermelaus.m;Ермелаус;
cn_Ermengarda.f;Ерменгарда;
cn_Ermengarde.f;Ерменгарде;
cn_Ermengildo.m;Ерменгилдо;
cn_Ermengol.m;Ерменгол;
cn_Ermenrich.m;Ерменрич;
cn_Ermentrud.f;Ерментруд;
cn_Ermesinde.f;Ермесинде;
cn_Ermessenda.f;Ермессенда;
cn_Ermessende.f;Ермессенде;
cn_Ermina.f;Ермина;
cn_Ermintrude.f;Ерминтруде;
cn_Ernald.m;Ерналд;
cn_Erneis.m;Ернеис;
cn_Ernest.m;Ернст;
cn_Ertugrul.m;Ертугрул;
cn_Erzsebet.f;Ерзсебет;
cn_Esa.f;Еса;
cn_Esayi.m;Есаии;
cn_Eschiva.f;Есчива;
cn_Esen.m;Есен;
cn_Esger.m;Есгер;
cn_Eshina.f;Ешина;
cn_Eshun.f;Ешун;
cn_Eskil.m;Ескил;
cn_Espanels.m;Еспанелс;
cn_Espargs.m;Еспаргс;
cn_Espas.m;Еспас;
cn_Espina.f;Еспина;
cn_Esquiva.f;Есквива;
cn_Estaci.m;Естаки;
cn_Estefania.f;Естефаниа;
cn_Esteve.m;Естеве;
cn_Estotz.m;Естотз;
cn_Estrid.f;Естрид;
cn_Etain.f;Етаин;
cn_Ete.f;Ете;
cn_Ete.m;Ете;
cn_Etgar.m;Етгар;
cn_Ethel.f;Етел;
cn_Ethelreda.f;Етелреда;
cn_Ethen.f;Етен;
cn_Etienne.m;Етиен;
cn_Etkhsapet.f;Еткхсапет;
cn_Eua.f;Еуа;
cn_Eudes.m;Еудес;
cn_Eudo.m;Одон;
cn_Eudokia.f;Еудокиа;
cn_Eufemia.f;Еуфемиа;
cn_Eufemija.f;Еуфемия;
cn_Eufemme.f;Еуфемме;
cn_Eufrosyne.f;Еуфросине;
cn_Eugene.m;Евгений;
cn_Eugenios.m;Еугениос;
cn_Eulalie.f;Еулалие;
cn_Eulalios.m;Еулалиос;
cn_Eumathios.m;Еуматиос;
cn_Euphemia.f;Евфимия;
cn_Euphrosyne.f;Еуфросине;
cn_Eusebius.m;Еусебиус;
cn_Eustace.m;Евстатий;
cn_Eustacius.m;Еустакиус;
cn_Eustathios.m;Еустатиос;
cn_Eustathius.m;Еустатиус;
cn_Eustrathios.m;Еустратиос;
cn_Euthymios.m;Еутимиос;
cn_Euthymius.m;Еутимиус;
cn_Euzebius.m;Еузебиус;
cn_Eva.f;Ева;
cn_Evdokia.f;Евдокиа;
cn_Evdokija.f;Евдокия;
cn_Evdokiya.f;Евдокия;
cn_Eve.f;Еве;
cn_Everard.m;Еверард;
cn_Evereraert.m;Еверераерт;
cn_Evgenia.f;Евгениа;
cn_Evradas.m;Еврадас;
cn_Evrouin.m;Евроуин;
cn_Evtimiy.m;Евтимии;
cn_Ewmond.m;Еумонд;
cn_Ewuare.m;Еууаре;
cn_Exuperi.m;Ексупери;
cn_Eylo.f;Еило;
cn_Eymery.m;Еимери;
cn_Eynard.m;Еинард;
cn_Eysteinn.m;Еистеинн;
cn_Ezra.m;Езра;
cn_Ezzio.m;Еззио;
cn_Fabian.m;Фабиан;
cn_Fadhma.f;Фадхма;
cn_Fadlallah.m;Фадлаллах;
cn_Fadrique.m;Фадрикве;
cn_Faga.m;Фага;
cn_Fagildo.m;Фагилдо;
cn_Fahr.f;Фахр;
cn_Fahreddin.m;Фахреддин;
cn_Fahruddin.m;Фахруддин;
cn_Fakhr.m;Факхр;
cn_Fakoli.m;Факоли;
cn_Falcone.m;Фалконе;
cn_Faledro.m;Фаледро;
cn_Falkes.m;Фалкес;
cn_Fancsal.m;Фанксал;
cn_Fancsika.m;Фанксика;
cn_Fannu.f;Фанну;
cn_Faoni.m;Фаони;
cn_Faraj.m;Фарай;
cn_Faramond.m;Фарамонд;
cn_Faravid.m;Фаравид;
cn_Fariburz.m;Фарибурз;
cn_Faris.m;Фарис;
cn_Farkas.m;Фаркас;
cn_Farquhar.m;Фарквхар;
cn_Farras.m;Фаррас;
cn_Farrukhzad.m;Фаррукхзад;
cn_Faska.m;Фаска;
cn_Fath.m;Фат;
cn_Fatima.f;Фатима;
cn_Fatimah.f;Фатимах;
cn_Fatna.f;Фатна;
cn_Fawkes.m;Фаукес;
cn_Fearchar.m;Феарчар;
cn_Federico.m;Федерико;
cn_Fedor.m;Федор;
cn_Feidhlimidh.m;Феидхлимидх;
cn_Felicia.f;Феликиа;
cn_Felician.m;Феликиан;
cn_Felipe.m;Фелипе;
cn_Felix.m;Феликс;
cn_Feodula.f;Феодула;
cn_Feognost.m;Феогност;
cn_Feradac.m;Ферадак;
cn_Feradach.m;Ферадач;
cn_Ferand.m;Феранд;
cn_Ferchar.m;Ферчар;
cn_Ferdinand.m;Фердинанд;
cn_Ferdinando.m;Фердинандо;
cn_Ferdomnach.m;Фердомнач;
cn_Ferdomnaig.m;Фердомнаиг;
cn_Fergal.m;Фергал;
cn_Fergus.m;Фергус;
cn_Feris.m;Ферис;
cn_Fernan.m;Фернан;
cn_Fernando.m;Фернандо;
cn_Ferran.m;Ферран;
cn_Ferrand.m;Ферранд;
cn_Ferrandos.m;Феррандос;
cn_Ferranto.m;Ферранто;
cn_Ferry.m;Ферри;
cn_Ffilip.m;Ффилип;
cn_Fiedora.f;Фиедора;
cn_Filagato.m;Филагато;
cn_Filbert.m;Филберт;
cn_Filip.m;Филип;
cn_Filipe.m;Филипе;
cn_Filipot.m;Филипот;
cn_Filippo.m;Филиппо;
cn_Filothea.f;Филотеа;
cn_Fimi.f;Фими;
cn_Fina.f;Фина;
cn_Findlaech.m;Финдлаеч;
cn_Fingen.m;Финген;
cn_Finghin.m;Фингхин;
cn_Finguine.m;Фингуине;
cn_Finla.m;Финла;
cn_Finta.m;Финта;
cn_Fiodor.m;Фиодор;
cn_Fionnbharra.m;Фионнбхарра;
cn_Fionnula.f;Фионнула;
cn_Fiorenza.f;Фиоренза;
cn_Firnas.m;Фирнас;
cn_Firuz.m;Фируз;
cn_Flaherty.m;Флахерти;
cn_Flaithbertaich.m;Флаитбертаич;
cn_Flann.m;Фланн;
cn_Flore.f;Флоре;
cn_Flore.m;Флоре;
cn_Florie.f;Флорие;
cn_Floris.m;Флорис;
cn_Folcaut.m;Фолкаут;
cn_Folco.m;Фолко;
cn_Folke.m;Фолке;
cn_Folkvid.m;Фолквид;
cn_Folquets.m;Фолкветс;
cn_Forbhlaith.f;Форбхлаит;
cn_Fortaner.m;Фортанер;
cn_Fortun.m;Фортун;
cn_Forveleth.f;Форвелет;
cn_Fotoh.m;Фотох;
cn_Foulques.m;Фоулквес;
cn_Frakkok.f;Фраккок;
cn_Frances.f;Франкес;
cn_Francesco.m;Франкеско;
cn_Francika.m;Франкика;
cn_Franciscus.m;Франкискус;
cn_Franco.m;Франко;
cn_Francois.m;Франкоис;
cn_Francz.m;Франкз;
cn_Frang.m;Франг;
cn_Frank.m;Франк;
cn_Frans.m;Франс;
cn_Frederick.m;Фридрих;
cn_Freky.m;Фреки;
cn_Freskin.m;Фрескин;
cn_Fresne.f;Фресне;
cn_Frezols.m;Фрезолс;
cn_Friedrich.m;Фриедрич;
cn_Froila.m;Фроила;
cn_Frotars_Peire.m;Фротарс-Пеире;
cn_Frujin.m;Фруджин;
cn_Frumgar.m;Фрумгар;
cn_Fulana.f;Фулана;
cn_Fulane.f;Фулане;
cn_Fulaytah.m;Фулаитах;
cn_Fulk.m;Фулк;
cn_Fulko.m;Фулко;
cn_Fyodor.m;Фиодор;
cn_Gabbriello.m;Габбриелло;
cn_Gabor.m;Габор;
cn_Gabriel.m;Гавраил;
cn_Gadhra.m;Гадхра;
cn_Gaetana.f;Гаетана;
cn_Gagik.m;Гагик;
cn_Gagik_Abas.m;Гагик-Абас;
cn_Gaikhalt.m;Гаикхалт;
cn_Gaillard.m;Гаиллард;
cn_Gaitelgrima.f;Гаителгрима;
cn_Gajik.m;Гаджик;
cn_Galas.m;Галас;
cn_Galberge.f;Галберге;
cn_Galeazzo.m;Галеаззо;
cn_Galeotto.m;Галеотто;
cn_Galfric.m;Галфрик;
cn_Galileo.m;Галилео;
cn_Galindo.m;Галиндо;
cn_Gallien.m;Галлиен;
cn_Galters.m;Галтерс;
cn_Gamel.m;Гамел;
cn_Gamelini.m;Гамелини;
cn_Gamrekeli.m;Гамрекели;
cn_Gana.m;Гана;
cn_Ganelon.m;Ганелон;
cn_Gange_Rolv.m;Ганге-Ролв;
cn_Gantula.m;Гантула;
cn_Gao.m;Гао;
cn_Garcia.m;Гаркиа;
cn_Garcias.m;Гаркиас;
cn_Garib.m;Гариб;
cn_Garnait.m;Гарнаит;
cn_Garnier.m;Гарниер;
cn_Garseddin.m;Гарседдин;
cn_Garsenda.f;Гарсенда;
cn_Garshasp.m;Гаршасп;
cn_Gartnait.m;Гартнаит;
cn_Gastos.m;Гастос;
cn_Gaucelis.m;Гаукелис;
cn_Gaucher.m;Гаучер;
cn_Gaudemunda.f;Гаудемунда;
cn_Gaudimante.f;Гаудиманте;
cn_Gaudis.m;Гаудис;
cn_Gaufrido.m;Гауфридо;
cn_Gaunilo.m;Гаунило;
cn_Gautier.m;Гаутиер;
cn_Gautiers.m;Гаутиерс;
cn_Gavril.m;Гаврил;
cn_Gawin.m;Гауин;
cn_Gaya.f;Гаиа;
cn_Gayane.f;Гаиане;
cn_Gaykhatu.m;Гаикхату;
cn_Gazi.m;Гази;
cn_Gbere.m;Гбере;
cn_Gebhard.m;Гебхард;
cn_Gediminas.m;Гедиминас;
cn_Gedvydas.m;Гедвидас;
cn_Gedvylas.m;Гедвилас;
cn_Gegegen.m;Гегеген;
cn_Geiles.f;Геилес;
cn_Geirnaert.m;Геирнаерт;
cn_Gelasius.m;Геласиус;
cn_Gelejian.m;Геледжиан;
cn_Gelfrat.m;Гелфрат;
cn_Gelis.f;Гелис;
cn_Gelis.m;Гелис;
cn_Gellert.m;Геллерт;
cn_Gelmiro.m;Гелмиро;
cn_Gelou.m;Гелоу;
cn_Gemma.f;Гемма;
cn_Generys.f;Генерис;
cn_Geneth.f;Генет;
cn_Genghis.m;Генгхис;
cn_Geniles.f;Генилес;
cn_Gennadios.m;Геннадиос;
cn_Gennadius.m;Геннадиус;
cn_Genoveva.f;Геновева;
cn_Geodula.f;Геодула;
cn_Geoffrey.m;Жофроа;
cn_Geoffroi.m;Геоффрои;
cn_Georg.m;Георг;
cn_George.m;Георги;
cn_Georgi.m;Георги;
cn_Georgios.m;Георгиос;
cn_Georgiy.m;Георгии;
cn_Gerald.m;Джералд;
cn_Gerallt.m;Гераллт;
cn_Gerard.m;Жерар;
cn_Gerarda.f;Герарда;
cn_Gerardo.m;Герардо;
cn_Gerasimos.m;Герасимос;
