"ID";"bg"
"DiplomacyProvokeWarWithAction.prepare_status_text";"{owner} се опитва да подклади война между {owner.mission_kingdom} и {action.target}"
"DiplomacyProvokeWarWithAction.outcomes.success.message.src_kingdom.caption";"Провокирахме война"
"DiplomacyProvokeWarWithAction.outcomes.success.message.src_kingdom.text";"{owner} убеди {owner.mission_kingdom} да атакува {target}"
"DiplomacyProvokeWarWithAction.outcomes.success.message.src_kingdom.text#2";"С малко помощ от {owner}, {owner.mission_kingdom:ians} стигнаха до решението, че истинският им враг е {target}."
"DiplomacyProvokeWarWithAction.outcomes.success.message.src_kingdom.text#3";"Войниците на {owner.mission_kingdom} сега маршируват срещу {target}, благодарение на {owner}, който ги предупреди, че ще бъдат атакувани и по-добре да атакуват първи."
"DiplomacyProvokeWarWithAction.outcomes.fail.message";"{owner} не успя да убеди {owner.mission_kingdom} да атакува {target}"
"DiplomacyProvokeWarWithAction.outcomes.fail.message#2";"{owner.mission_kingdom:ians} отказаха да атакуват {target}, независимо от многобройните опити на {owner} да ги убеди."
"DiplomacyProvokeWarWithAction.outcomes.fail.message#3";"{owner} не можа да намери начин да убеди {owner.mission_kingdom:ians} да атакува {target}."
"DiplomacyRevokeTributeAction.name";"Отмяна на почит"
"DiplomacyRevokeTributeAction.tooltip";"Нека {owner} се опита да отмени нашата почит към {owner.mission_kingdom}"
"DiplomacyRevokeTributeAction.prepare_status_text";"{owner} се опитва да отмени нашата почит към {owner.mission_kingdom}."
"DiplomacyRevokeTributeAction.outcomes.success.message.src_kingdom.caption";"Почитта е отменена"
"DiplomacyRevokeTributeAction.outcomes.success.message.src_kingdom.message";"{owner} отмени нашия трибут към {owner.mission_kingdom}"
"DiplomacyRevokeTributeAction.outcomes.fail.message";"{owner} не успя да отмени нашия трибут към {owner.mission_kingdom}"
"DiplomacySearchForSpouceAction.name";"Търсене на съпруга"
"DiplomacySearchForSpouceAction.tooltip";"Нека {owner} търси потенциални кандидати за брак във всички кралства за членове на нашето кралско семейство.[{p}Това ще изисква поддържане на {SearchingForSpouseStatus.upkeep}.]"
"DiplomacySearchForSpouceAction.prepare_status_text";"{owner} търси кандидати за брак за {target}.[{p}Това изисква поддържане на {SearchingForSpouseStatus.upkeep}.]"
"DiplomacySearchForSpouceAction.validate_prompts._no_possible_targets";"{clr:red_bright}Нямаме неомъжени членове на семейството, които са достатъчно възрастни.{/clr}"
"DiplomacySearchForHelpWithRebelsAction.name";"Търсете помощ с бунтовници"
"DiplomacySearchForHelpWithRebelsAction.tooltip";"Накарайте {owner} да търси кралства, които могат да изпратят армии срещу нашите бунтовници"
"DiplomacySearchForHelpWithRebelsAction.prepare_status_text";"{owner} планира потенциални посещения с кралства, които може да ни помогнат срещу нашите бунтовници."
"DiplomacySupportLoyalistsAction.name";"Подкрепете лоялни"
"DiplomacySupportLoyalistsAction.tooltip";"Накарайте {owner} да се опита да подкрепи лоялисти в {owner.mission_kingdom}"
"DiplomacySupportLoyalistsAction.prepare_status_text";"{owner} се опитва да подкрепи лоялисти в {owner.mission_kingdom}."
"DiplomacySupportLoyalistsAction.outcomes.success.message";"{owner} подкрепи нашите лоялисти в {owner.mission_kingdom}"
"DiplomacySupportLoyalistsAction.outcomes.fail.message";"{owner} не успя да подкрепи нашите лоялисти в {owner.mission_kingdom}"
"DiplomacyAcceptReligionAction.name";"Приемете нашата религия"
"DiplomacyAcceptReligionAction.tooltip";"Нека {owner} се опита да преобразува {owner.mission_kingdom} в нашата религия"
"DiplomacyAcceptReligionAction.prepare_status_text";"{owner} се опитва да преобразува {owner.mission_kingdom} в нашата религия"
"DiplomacyAcceptReligionAction.outcomes.success.message";"{owner} успешно промени религията на {owner.mission_kingdom}"
"DiplomacyAcceptReligionAction.outcomes.fail.message";"{owner} не успя да промени религията на {owner.mission_kingdom}"
"ThreatenAction.name";"Заплашвам"
"ThreatenAction.tooltip";"Накарайте {owner} да заплаши {owner.mission_kingdom}"
"ThreatenAction.prepare_status_text";"{owner} се подготвя да заплаши {target}"
"InfiltrateKingdomAction.name";"Проникнете в [{target}|Кралство]"
"InfiltrateKingdomAction.tooltip";"Изпратете {owner} да проникне в [{target}.|друго кралство.][{spy_is_known:if}{spy_can_be_revealed_while_infiltrating:if}{p}{p}Тъй като скорошната мисия на нашия шпионин в {target} беше компрометирана, изпращането му обратно може да доведе до незабавното му разкриване.]"
"InfiltrateKingdomAction.prepare_status_text";"{owner} се опитва да проникне в {action.target}."
"InfiltrateKingdomAction.cancelled_message_caption";"Инфилтрацията е спряна"
"InfiltrateKingdomAction.cancelled_message_texts.kingdom_destroyed";"За съжаление, плановете ни да шпионираме {target} бяха прекратени от внезапното им унищожение. {owner} се завърна в нашия кралски двор."
"InfiltrateKingdomAction.outcomes.success.message.caption";"Проникнало кралство"
"InfiltrateKingdomAction.outcomes.success.message.text";"{owner} успешно проникна в {target} и очаква допълнителни заповеди."
"InfiltrateKingdomAction.outcomes.success.message.bullet";"Докато нашият шпионин е там, той ще търси изгодни възможности, които могат да възникнат. Ще можем също така да видим всички армии, маршируващи в {target}."
"InfiltrateKingdomAction.outcomes.fail.src_kingdom.message.caption";"Шпионинът се провали"
"InfiltrateKingdomAction.outcomes.fail.src_kingdom.message.text";"{owner} не успя да инфилтрира {target}"
"InfiltrateKingdomAction.outcomes.owner_imprisoned.src_kingdom.message.caption";"Нашият шпионин беше заловен!"
"InfiltrateKingdomAction.outcomes.owner_imprisoned.src_kingdom.message.text";"{owner} беше арестуван за миналите си престъпления в {target}."
"InfiltrateKingdomAction.outcomes.owner_imprisoned.src_kingdom.message.text#2";"Завръщането на {owner} в {target} беше предопределено да се провали: пазачите не бяха забравили последното му посещение."
"InfiltrateKingdomAction.outcomes.owner_imprisoned.src_kingdom.message.text#3";"Както можеше да се очаква, {owner} беше затворен в момента, в който стъпи в {target}."
"InfiltrateKingdomAction.outcomes.owner_imprisoned.target_kingdom.message.caption";"Чужд шпионин е заловен!"
"InfiltrateKingdomAction.outcomes.owner_imprisoned.target_kingdom.message.text";"Арестувахме {owner} за минали престъпления."
"InfiltrateKingdomAction.outcomes.owner_imprisoned.target_kingdom.message.text#2";"Най-после заловихме този глупак {owner}: Той се осмели да се върне в нашето кралство."
"InfiltrateKingdomAction.outcomes.owner_imprisoned.target_kingdom.message.text#3";"{owner} се опита да се върне в нашите земи и този път нашата охрана го залови веднага."
"RuinRelationsAction.name";"Разрушете отношения"
"RuinRelationsAction.tooltip";"Поръчайте на {owner} да се опита да развали отношенията между {owner.mission_kingdom} и друго кралство.{p}Въпреки това, винаги има някакъв малък шанс[ {alt:if}({reveal_chance_on_tick:%})] той да бъде разкрит."
"RuinRelationsAction.prepare_status_text";"{owner} се опитва да развали отношенията между {owner.mission_kingdom} и {action.target}."
"RuinRelationsAction.src_messages.success_undetected";"{owner} доказа, че има езика на змия и разума на дипломат, тъй като развали отношенията между {owner.mission_kingdom} и {target}, като разговаряше с точните хора."
"RuinRelationsAction.src_messages.success_undetected#2";"{owner} успя да фалшифицира някои компрометиращи писма за кореспонденция между {target} и {owner.mission_kingdom}, поставяйки пробив в отношенията им."
"RuinRelationsAction.src_messages.success_undetected#3";"{owner} се възползва от скорошен кралски банкет и успя да говори насаме с някои от съветниците на {owner.mission_kingdom.king:s}. По време на разговора им той се погрижи да спомене някои измислени факти за това как {target} крои интриги зад гърба им."
"RuinRelationsAction.src_messages.fail_revealed";"{owner} беше видян да разменя някои от {owner.mission_kingdom:s} писма за кореспонденция с фалшиви, в които се споменава {target}."
"RuinRelationsAction.src_messages.fail_revealed#2";"{owner} се напи и започна да се хвали с плановете си да компрометира отношенията между {owner.mission_kingdom} и {target}. Излишно е да казвам, че той беше открит на следващия ден."
"RuinRelationsAction.src_messages.fail_revealed#3";"Писарите на {owner.mission_kingdom:s} се оказаха експерти в работата си, тъй като откриха някои писма, насочени към компрометиране на {target}, които бяха изпълнени с лош почерк и граматически грешки. Малко след това документите бяха проследени до нашия {owner}."
"RuinRelationsAction.src_messages.plot_invalidated";"Поради обрат на събитията, {owner} вече не може да разваля отношенията между {owner.mission_kingdom} и {target}."
"RuinRelationsAction.mission_kingdom_messages.success_undetected";"Отношенията ни мистериозно се влошиха с {target_kingdom} - несъмнено дело на вражески шпионин... За съжаление, извършителят остава неизвестен."
"RuinRelationsAction.mission_kingdom_messages.success_undetected#2";"Сър, {target_kingdom} ни изпрати гневни писма, обвиняващи ни в неща, които не сме направили! Подозираме, че това се дължи на вражески шпионаж."
"RuinRelationsAction.mission_kingdom_messages.success_undetected#3";"Отношенията ни с {target_kingdom} значително се влошиха без видима причина! Докато текат разследвания, подозираме, че някой извън нашето кралство е имал пръст в това..."
"RuinRelationsAction.mission_kingdom_messages.fail_revealed";"{src_kingdom:anian:cap} шпионин се опитваше да развали отношенията ни с {target_kingdom}! За щастие разбрахме за заговора му, без {target_kingdom:ians} да разберат какво се случва."
"RuinRelationsAction.mission_kingdom_messages.fail_revealed#2";"Открихме, че шпионинът {src_kingdom:anian:cap} изпраща изобличителни писма до {target_kingdom}, опитвайки се да развали отношенията ни с тях! Добре, че хванахме плъха навреме."
"RuinRelationsAction.mission_kingdom_messages.fail_revealed#3";"Милорд, носим тревожни новини – {src_kingdom:anian:cap} шпионин разваля отношенията ни с {target_kingdom}! Кой знае от колко време продължава това..."
"RuinRelationsAction.target_kingdom_messages.success_undetected";"Отношенията ни с {mission_kingdom} внезапно се влошиха! Сигурно някой се бърка в преговорите ни, въпреки че местонахождението на виновника остава неизвестно..."
"RuinRelationsAction.target_kingdom_messages.success_undetected#2";"Сър, получихме някои доста гневни писма от {mission_kingdom}... Въпреки това, техните формулировки и мотивите зад тях изглеждат странни, което ни кара да вярваме, че това може да е дело на друго кралство."
"RuinRelationsAction.target_kingdom_messages.success_undetected#3";"{mission_kingdom:ians} са ядосани на нашето кралство по неизвестни за нас причини! Може ли това да е дело на досаден шпионин? Въпросът е къде се крие..."
"RuinRelationsAction.outcomes.success.src_kingdom.message.caption";"Шпионинът успя"
"RuinRelationsAction.outcomes.success.src_kingdom.message.text";"{src_messages.success_undetected}"
"RuinRelationsAction.outcomes.success.mission_kingdom.message.caption";"Развалени отношения"
"RuinRelationsAction.outcomes.success.mission_kingdom.message.text";"{mission_kingdom_messages.success_undetected}"
"RuinRelationsAction.outcomes.success.target_kingdom.message.caption";"Развалени отношения"
"RuinRelationsAction.outcomes.success.target_kingdom.message.text";"{target_kingdom_messages.success_undetected}"
"RuinRelationsAction.outcomes.success.rel_change.target_kingdom.bullet";"[Връзки с {mission_kingdom}: {outcome.value:bonus_dark}]"
"RuinRelationsAction.outcomes.success.rel_change.mission_kingdom.bullet";"[Връзки с {target_kingdom}: {outcome.value:bonus_dark}]"
"RuinRelationsAction.outcomes.success.rel_change.default.bullet";"[Връзки между {mission_kingdom} и {target_kingdom}: {outcome.value:bonus_dark}]"
"RuinRelationsAction.outcomes.fail.mission_kingdom.message.text";"{mission_kingdom_messages.fail_revealed}"
"WitchHuntAction.name";"Лов на вещици"
"WitchHuntAction.tooltip";"Започнете разследване в цялото кралство, за да търсите чужди шпиони.{p}{p}Дори ако шпионинът направи всичко по силите си, за да успее (шансът е посочен по-долу), има допълнителен скрит шанс за неуспех, ако чуждите шпиони избегнат откриването или ако в кралството няма такива."
"WitchHuntAction.prepare_status_text";"{owner} води лов на вещици в търсене на чужди шпиони в {owner.kingdom}."
"ResistRevealAction.name";"Избегни разкриване"
"ResistRevealAction.tooltip";"Усилията на {owner} да запази тайната на своята мисия"
"ResistRevealAction.reveal_factors.sf_base.name";"Базов шанс"
"ResistRevealAction.src_messages.fail_revealed";"{mission_kingdom} разкри нашия {owner}!"
"ResistRevealAction.mission_kingdom_messages.fail_revealed";"Разкрихме {owner} като шпионин на {owner.kingdom:anian}!"
"WitchHuntRevealAction.name";"Избегни разкриване"
"WitchHuntRevealAction.tooltip";"Усилията на {owner} да запази тайната на своята мисия"
"WitchHuntRevealAction.reveal_factors.sf_base.name";"Базов шанс"
"WitchHuntRevealAction.reveal_factors.sf_other_spies.name";"Други шпиони"
"WitchHuntRevealAction.reveal_factors.sf_class_level.name";"Ниво на шпиона (x2)"
"WitchHuntRevealAction.src_messages.fail_revealed";"Сир, досадните {mission_kingdom:ians} организираха лов на вещици и разкриха нашия {owner}!"
"WitchHuntRevealAction.src_messages.fail_revealed#2";"Уви, дейностите на {owner:s} не можаха да останат скрити от {mission_kingdom:ians}. След продължителен лов на вещици те успяха да открият нашия шпионин."
"WitchHuntRevealAction.src_messages.fail_revealed#3";"Нашето проникване в {mission_kingdom} беше компрометирано! {owner} беше разкрит като част от лов на вещици, проведен в кралството на неговата мисия."
"ForceRevealAction.name";"Принудително разкриване"
"ForceRevealAction.reveal_factors.sf_base.name";"Базов шанс"
"PrinceBecomesKingRevealAction.src_messages.fail_revealed";"Когато {owner.mission_kingdom.king} стана владетел на {owner.mission_kingdom}, лоялността му към {owner} внезапно се изпари. Така прикритието на нашия шпионин беше компрометирано!"
"PrinceBecomesKingRevealAction.mission_kingdom_messages.fail_revealed";"Разкрихме {owner} като шпионин на {owner.kingdom:anian}! Очевидно той е отравял ума на нашия нов владетел, {mission_kingdom.king}, който имаше доблестта да разкрие това."
"PrinceBecomesKingRevealAction.reveal_factors.sf_base.name";"Базов шанс"
"PrinceBecomesKingRevealAction.reveal_factors.sf_heir_espionage_stars.name";"Способност за шпионаж на техния наследник (x5)"
"PrinceBecomesKingRevealAction.reveal_factors.sf_heir_class.name";"Ниво на техния наследник"
"PrinceBecomesKingRevealAction.reveal_factors.sf_heir_spy_class.name";"Ниво на шпионаж на техния наследник (x2)"
"PrinceBecomesKingRevealAction.reveal_factors.sf_their_positive_CA.name";"Техният кралски авторитет (x2)"
"PrinceBecomesKingRevealAction.reveal_factors.sf_their_princess_in_our_kingdom.name";"Техните принцеси"
"PrinceBecomesKingRevealAction.reveal_factors.sf_class_level.name";"Ниво на шпиона (x2)"
"PrinceBecomesKingRevealAction.reveal_factors.sf_our_skills.name";"Умения и традиции"
"BribeNobleAction.name";"Подкупи [{target}|благородник]"
"BribeNobleAction.tooltip";"Наредете на {owner} да се опита да подкупи [{target}|благородник в {owner.mission_kingdom}]."
"BribeNobleAction.success_fail.sf_their_diplomat_hold_pact_against_us.name";"Поддържа пакт срещу нас"
"BribeNobleAction.prepare_status_text";"{owner} се опитва да подкупи {action.target}."
"BribeNobleAction.src_messages.new_opportunity";"{owner} дочу, че {target} може лесно да бъде подкупен. Очевидно този {target.kingdom:ian} цени златото повече от всичко друго."
"BribeNobleAction.src_messages.new_opportunity#2";"{owner} ни информира, че той и {target} са установили близки отношения, дотам, че {target.kingdom:ian} лесно може да бъде подкупен срещу подходяща сума злато."
"BribeNobleAction.src_messages.new_opportunity#3";"{owner} научи, че верността на {target:s} към неговия {target.kingdom.king.title} е преходна. Може би нашият шпионин може да се опита да подкупи {target.kingdom:ian} и да се възползва от заеманата от него длъжност."
"BribeNobleAction.src_messages.success_undetected";"{owner} успешно подкупи {target}. Неговата лоялност сега тайно принадлежи на нас!"
"BribeNobleAction.src_messages.success_undetected#2";"Рискът беше голям, но в крайна сметка {target} прие подкупа и сега очаква заповеди от {owner}."
"BribeNobleAction.src_messages.success_undetected#3";"Както се очакваше, {target} лесно беше убеден да работи за нас. {owner} ще се погрижи всички наши заповеди да стигнат до него."
"BribeNobleAction.src_messages.success_revealed";"{owner} успешно подкупи {target}, но някой разбра, че той върши нещо подозрително."
"BribeNobleAction.src_messages.success_revealed#2";"{owner} успя да подкупи {target}, но действията му бяха твърде забележими и {target.kingdom:ians} вече знаят, че той е шпионин."
"BribeNobleAction.src_messages.success_revealed#3";"Въпреки че {target} охотно прие подкупа на {owner:s}, тяхното взаимодействие беше забелязано от някои минувачи, които докладваха нашия шпионин на местните власти."
"BribeNobleAction.src_messages.fail_undetected";"{owner} не успя да подкупи {target}, който сега е още по-лоялен към своя крал."
"BribeNobleAction.src_messages.fail_undetected#2";"{target} отказа подкупа, предложен му от {owner}."
"BribeNobleAction.src_messages.fail_undetected#3";"Опитът за подкупване на {target} се оказа лоша идея. Той отказа дори да чуе какво има да предложи {owner}."
"BribeNobleAction.src_messages.fail_revealed";"Опитът за подкупване на {target} беше ужасна идея: той незабавно докладва действията на {owner:s}."
"BribeNobleAction.src_messages.fail_revealed#2";"Не само че {target} отказа нашия подкуп, но и информира стражата, че {owner} е шпионин!"
"BribeNobleAction.src_messages.fail_revealed#3";"Доверието на {target:s} не можа да бъде пречупено. Още по-лошо, той измами {owner} и го разкри като шпионин!"
"BribeNobleAction.src_messages.fail_revealed#4";"Докато кроеше планове как да стигне до {target}, {owner} задаваше на твърде много хора изключително рисковани въпроси и в крайна сметка заговорът му беше разкрит."
"BribeNobleAction.src_messages.plot_invalidated";"Поради обрат в събитията {owner} вече не може да се опитва да подкупи {target}."
"BribeNobleAction.mission_kingdom_messages.success_revealed";"Шпионин на {src_kingdom:anian:cap} подкупи един от нашите рицари, макар че все още не е ясно кой! Поне разкрихме шпиона."
"BribeNobleAction.mission_kingdom_messages.success_revealed#2";"Разкрихме, че шпионин на {src_kingdom:anian} е подкупил един от нашите рицари! За щастие мишената беше {target}, който само взе парите и веднага разкри шпиона."
"BribeNobleAction.mission_kingdom_messages.success_revealed#3";"Научихме, че шпионин на {src_kingdom:anian} е подкупил един от нашите рицари! В крайна сметка дългият език на шпиона го разкри, тъй като е бил дочут да се хвали с „богатството“ и „влиянието“ си в местната странноприемница."
"BribeNobleAction.mission_kingdom_messages.fail_revealed";"Шпионин на {src_kingdom:anian:cap} се опита да подкупи {target}, но нашият лоялен рицар отказа и веднага докладва за случая."
"BribeNobleAction.mission_kingdom_messages.fail_revealed#2";"Нашият {target} ни информира, че шпионин на {src_kingdom:anian} му предлага злато с надеждата да го подкупи! За щастие нашият {target.class_name} не се поддаде на изкушението и разкри самозванеца."
"BribeNobleAction.mission_kingdom_messages.fail_revealed#3";"Сир, пресрещнахме голяма сума злато, скрита в пратка ябълки! Без съмнение това е бил подкуп, предназначен за един от нашите рицари, като всички доказателства сочат към шпионин на {src_kingdom:anian}."
"BribeNobleAction.cancelled_message_caption";"Подкупването е преустановено"
"BribeNobleAction.cancelled_message_texts.imprisoned";"{target} вече не може да бъде подкупен от нашите шпиони, тъй като беше затворен от друго кралство. {owner} отново търси друг корумпиран рицар на {target.kingdom:ian}."
"ProvokeWarAction.name";"Провокирай война[ с {target}]"
"ProvokeWarAction.tooltip";"Накарайте {owner} да се опита да провокира война между {owner.mission_kingdom} и [{target}|друго кралство]."
"ProvokeWarAction.prepare_status_text";"{owner} търси начини да провокира война между {owner.mission_kingdom} и {target}."
"ProvokeWarAction.src_messages.new_opportunity";"{owner} има възможност да провокира война между {owner.mission_kingdom} и {target}, като се има предвид колко напрегнати са станали отношенията между кралствата."
"ProvokeWarAction.src_messages.new_opportunity#2";"{owner} откри следа, която потенциално би могла да предизвика война между {owner.mission_kingdom} и {target}. Да се възползва ли нашият шпионин от тази възможност?"
"ProvokeWarAction.src_messages.success_undetected";"Без да остави никаква следа, {owner} успя да превърне влошаващите се отношения между {mission_kingdom} и {target_kingdom} в пълномащабна война."
"ProvokeWarAction.src_messages.success_undetected#2";"{owner} бързо се възползва от омразата на {owner.mission_kingdom:s} към {target_kingdom:ians} и успя да провокира война между кралствата."
"ProvokeWarAction.src_messages.success_undetected#3";"Някак си {owner} успя да замъгли съзнанието на {owner.mission_kingdom.king}, убеждавайки го, че воденето на война срещу {target_kingdom} е от изключителна важност."
"ProvokeWarAction.src_messages.success_revealed";"Делото е сторено: {owner} успя да провокира война между {mission_kingdom} и {target_kingdom}. За нещастие на нашия шпионин, той беше разкрит като заговорника зад този план."
"ProvokeWarAction.src_messages.success_revealed#2";"Въпреки че {owner} успя да провокира война между {owner.mission_kingdom} и {target_kingdom}, неговият заговор беше разкрит от някои писари, които го видяха да фалшифицира куп писма."
"ProvokeWarAction.src_messages.fail_undetected";"Очевидно война между {owner.mission_kingdom} и {target_kingdom} не можеше да бъде провокирана. Поне нашият шпионин беше достатъчно усърден, за да заличи следите си."
"ProvokeWarAction.src_messages.fail_undetected#2";"{owner} ще трябва да се потруди повече, ако искаме {owner.mission_kingdom} да влезе във война срещу {target_kingdom}. Засега нашият шпионин остава неразкрит и може да продължи усилията си в бъдеще."
"ProvokeWarAction.src_messages.fail_undetected#3";"Изглежда, че {owner} е забравил, че трябваше да провокира война между {mission_kingdom} и {target_kingdom}... Идиотът е прекарал по-голямата част от дните си, напивайки се до козирката в местната таверна!"
"ProvokeWarAction.src_messages.fail_revealed";"Не само че {owner} не успя да провокира война между {mission_kingdom} и {target_kingdom}, но и беше хванат в процеса. Каква катастрофа..."
"ProvokeWarAction.src_messages.fail_revealed#2";"Уви, {owner} не можа да заблуди {owner.mission_kingdom:ians} да влезе във война срещу {target_kingdom}. След като изпраща десетки фалшиви писма, той най-накрая е заловен."
"ProvokeWarAction.src_messages.plot_invalidated";"Поради обрат на събитията, {owner} вече не може да се опитва да провокира война между {mission_kingdom} и {target_kingdom}."
"ProvokeWarAction.mission_kingdom_messages.success_revealed";"Сър, заблудени сме. Изглежда, че {owner} от {owner.kingdom} действа зад гърба ни от доста време, което води до внезапна война между нас и {target_kingdom}!"
"ProvokeWarAction.mission_kingdom_messages.success_revealed#2";"Без да знаем, до {target_kingdom} е изпратена декларация за война! Проследихме произхода на писмото и се оказа, че авторът му не е никой друг, а {owner} на {owner.kingdom}..."
"ProvokeWarAction.mission_kingdom_messages.fail_revealed";"{owner.kingdom:anian:cap} шпионин беше хванат, опитвайки се да провокира война между нас и {target_kingdom}! Добре, че успяхме да спрем плъха навреме."
"ProvokeWarAction.mission_kingdom_messages.fail_revealed#2";"Открихме, че {owner.kingdom:anian} шпионин се опитва да подклажда война между нашия народ и {target_kingdom}! За щастие той не беше много внимателен и ни позволи лесно да открием заговора му."
"ProvokeWarAction.cancelled_message_caption";"Провокирането на война е спряно"
"ProvokeWarAction.cancelled_message_texts.kingdom_destroyed";"Унищожаването на {target_kingdom} спря опитите на {owner:s} да провокира война между народа му и {mission_kingdom}."
"ProvokeWarAction.cancelled_message_texts.war_started";"Получихме информация, че {target_kingdom} и {mission_kingdom} са във война! В резултат на това {owner} вече не планира да провокира война между кралствата."
"ProvokeWarAction.cancelled_message_texts.joined_war";"Получихме информация, че {target_kingdom} и {mission_kingdom} са във война! В резултат на това {owner} вече не планира да провокира война между кралствата."
"ProvokedWarEvent.caption";"Провокирана война!"
"ProvokedWarEvent.body";"Сър, заблудени сме. Вярваме, че чужд шпионин е действал зад гърба ни от доста време, което води до внезапна война между нас и {target_kingdom}!"
"ProvokedWarEvent.body#2";"Без да знаем, до {target_kingdom} е изпратена декларация за война! Не можахме да проследим произхода на писмото, но мирише на вражески шпионин..."
"SpyMurderAction.name";"Убийство [{target}|благородник]"
"SpyMurderAction.tooltip";"Накарайте {owner} да се опита да убие [{target}|персонаж от {owner.mission_kingdom}|благородник]."
"SpyMurderAction.prepare_status_text";"{owner} планира убийството на {action.target}."
"SpyMurderAction.success_fail.sf_our_puppet.name";"Целта е нашата марионетка"
"SpyMurderAction.src_messages.new_opportunity";"{owner} се доближи до {target} и сега може да планира убийството на [{target_is_male:if}неговото|нейно] убийство."
"SpyMurderAction.src_messages.fail_undetected";"{owner} направи сложен заговор за убийство, но {target} внезапно промени плановете си и промени [{target_is_male:if}своя|нейния] дневен график. Така всички интриги бяха напразни."
"SpyMurderAction.src_messages.fail_undetected#2";"{owner} най-накрая успя да се промъкне в квартирата на {target:s} през нощта, само за да разбере, че {target} прекарва [{target_is_male:if}своите|нейните] нощи другаде."
"SpyMurderAction.src_messages.fail_undetected#3";"След седмици на планиране, {owner} най-накрая успя да сложи малко отрова в чая на {target}. За съжаление, отровата беше или твърде слаба, или дозата твърде ниска и причини само някои стомашни проблеми."
"SpyMurderAction.src_messages.fail_revealed";"{owner} най-накрая успя да се промъкне в квартирата на {target:s} през нощта, но някак си {target} го очакваше и веднага извика охраната!"
"SpyMurderAction.src_messages.fail_revealed#2";"След седмици на планиране, {owner} най-накрая успя да сложи малко отрова в чая на {target}.  Чашите обаче се разменят и един от пазачите му я изпива и умира. След кратко разследване стана ясно кой е виновникът..."
"SpyMurderAction.src_messages.plot_revealed";"Един от {owner:s} мъже разгласи заговора си за убийство и {target.kingdom:ians} разбраха, че той е наш шпионин!"
"SpyMurderAction.src_messages.plot_revealed#2";"{owner} трябваше да рискува твърде много, за да се доближи до {target} и най-накрая разкри прикритието си. Неговият заговор беше разкрит от {target.kingdom:ians}."
"SpyMurderAction.src_messages.plot_invalidated";"Поради обрат на събитията, убийството на {target:s} стана невъзможно."
"SpyMurderAction.mission_kingdom_messages.fail_revealed";"{src_kingdom:anian:cap} шпионин нападна {target} в [{target_is_male:if}неговата|нейната] квартира, но пазачите стигнаха там навреме."
"SpyMurderAction.mission_kingdom_messages.fail_revealed#2";"{src_kingdom:anian:cap} шпионин се опита да отрови {target}, но нещастен слуга изпи отровата вместо това."
"SpyMurderAction.mission_kingdom_messages.fail_revealed#3";"Разбрахме, че {src_kingdom:anian} шпионин е планирал убийството на {target}! Ние се погрижихме да следим отблизо нашия благородник и той вече е добре защитен."
"SpyMurderAction.cancelled_message_caption";"Опитът за убийство е спрян"
"WorkIncidentKilledEvent.caption";"{target} загина"
"WorkIncidentKilledEvent.body";"{target} внезапно се разболя и след няколко дни почина. Шепа слуги съобщиха, че неизвестно лице посещава {target} от време на време... Може би сред нас има шпионин?"
"WorkIncidentKilledEvent.body#2";"{target} беше ограбен и убит от бандити. На място беше открито писмо, нареждащо смъртта на нашия {target.title}, със сигурност написано от чуждестранен шпионин. Стражите ни сега претърсват цялото кралство със заповеди да екзекутират на място всички замесени."
"AssassinateRebellionLeader.name";"Убий лидера на бунта"
"AssassinateRebellionLeader.tooltip";"Накарайте {owner} да организира убийството на {target} в опит да сложи край на неговия бунт."
"AssassinateRebellionLeader.success_fail.sf_target_level.name";"Ниво на бунтовнически лидер (x2)"
"AssassinateRebellionLeader.reveal_factors.sf_target_level.name";"Ниво на бунтовнически лидер"
"AssassinateRebellionLeader.prepare_status_text";"{owner} урежда убийството на {target}, за да сложи край на неговия бунт."
"AssassinateRebellionLeader.src_messages.new_opportunity";"{owner} намери начин да се доближи до {target} и неговите поддръжници на бунтовниците, за да може да го убие и да сложи край на бунта му."
"AssassinateRebellionLeader.src_messages.success_revealed";"Беше объркано, но {owner} някак успя да убие {target} в жестоко сбиване. За съжаление на нашия шпионин, борбата му беше подслушана от близките бунтовници."
"AssassinateRebellionLeader.src_messages.success_undetected";"По хладен и пресметлив начин, {owner} успя да се промъкне в редиците на {target} и да убие лидера на бунтовниците, като се представяше за един от неговите пазачи."
"AssassinateRebellionLeader.src_messages.fail_revealed";"{owner} беше хванат от един от пазачите на {target:s}, точно когато се канеше да забие камата си в гърба на лидера на бунта."
"AssassinateRebellionLeader.src_messages.fail_undetected";"{owner} се опита да инсценира убийството на {target} с помощта на нает служител. За съжаление, съучастникът на нашия шпионин се оказа изключително безполезен, тъй като беше заловен, докато се опитваше да налее отрова в {target:s} медовина. За да спаси собствената си кожа, той издаде {owner} на бунтовниците."
"AssassinateRebellionLeader.src_messages.fail_undetected#2";"{target:s} бунтовнически антураж улови миризмата на {owner}, принуждавайки нашия шпионин да изостави прикритието си за момента."
"AssassinateRebellionLeader.cancelled_message_caption";"Опитът за убийство е спрян"
"HuntingIncidentAction.name";"Ловен инцидент"
"HuntingIncidentAction.tooltip";"Накарайте {owner} да се опита да убие {owner.mission_kingdom.king}, като инсценира инцидент на лов."
"HuntingIncidentAction.prepare_status_text";"{owner} урежда инцидент на лов в {owner.mission_kingdom}."
